Dt,Rate
01/10/1965,5
01/09/1966,5.5
01/03/1968,6
01/03/1969,6.5
01/03/1970,7
01/03/1971,7.5
01/03/1973,8
01/03/1974,9
01/02/1977,10
01/03/1979,12.5
01/01/1980,15
01/01/1981,12.5
01/12/1981,15
01/03/1982,14
01/07/1982,13
01/04/1983,12.5
01/04/1984,12
01/08/1986,11.5
01/01/1987,12.25
01/04/1987,11.75
01/11/1987,11.25
01/12/1987,11
01/05/1988,9.5
01/08/1988,11
01/11/1988,12.25
01/01/1989,13
01/11/1989,14.25
01/04/1991,12
01/10/1991,10.25
01/02/1993,8
01/08/1999,7
01/02/2002,6
01/02/2009,3
01/06/2009,1.5
01/07/2009,0.5
01/06/2020,0.1
29/04/2022,0.645
02/09/2022,1.75
25/10/2022,2.25
18/11/2022,3
16/01/2023,3.5
13/02/2023,4
21/04/2023,4.25
13/06/2023,4.5
23/08/2023,6.0
12/06/2024,5.25
19/09/2024,5.0