age (years),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
38,133.75,134.39,132.97,131.55,130.13,128.72,127.32,125.92,124.53,123.14,121.77,120.4,119.03,117.68,116.33,114.99,113.66,112.33,111.02,109.71,108.42,107.13,105.85,104.59,103.33,102.1,100.87,99.66,98.47,97.28,96.12,94.96,93.83,92.7,91.59,90.49,89.4,88.33,87.27,86.23,85.19,84.17,83.16,82.16,81.18,80.2,79.24,78.29,77.35,76.42,75.51,74.6,73.71,72.82,71.95,71.08,70.23,69.39,68.56,67.73,66.92,66.12,65.33,64.54,63.77,63.0,62.25,61.5,60.76,60.03,59.31,58.6,57.9,57.2,56.52,55.84,55.17,54.51,53.85,53.21,52.57,51.94,51.32,50.7,50.09,49.49,48.9,48.31
39,144.21,142.88,141.54,140.19,138.84,137.47,136.11,134.73,133.35,131.97,130.58,129.19,127.79,126.4,125.0,123.61,122.21,120.82,119.42,118.03,116.65,115.27,113.89,112.53,111.18,109.85,108.53,107.23,105.94,104.67,103.42,102.18,100.95,99.74,98.54,97.36,96.19,95.04,93.9,92.77,91.66,90.56,89.47,88.4,87.34,86.29,85.26,84.24,83.22,82.23,81.24,80.27,79.3,78.35,77.41,76.48,75.57,74.66,73.76,72.88,72.0,71.14,70.29,69.44,68.61,67.79,66.97,66.17,65.38,64.59,63.82,63.05,62.3,61.55,60.81,60.08,59.36,58.65,57.94,57.25,56.56,55.88,55.21,54.55,53.9,53.25,52.61,51.98
40,154.46,153.17,151.87,150.54,149.2,147.83,146.45,145.05,143.64,142.22,140.78,139.33,137.87,136.4,134.92,133.43,131.94,130.45,128.95,127.45,125.95,124.45,122.96,121.49,120.03,118.59,117.17,115.76,114.38,113.0,111.65,110.31,108.99,107.68,106.39,105.11,103.85,102.61,101.37,100.16,98.96,97.77,96.6,95.44,94.29,93.16,92.05,90.94,89.85,88.77,87.71,86.66,85.62,84.59,83.57,82.57,81.58,80.6,79.64,78.68,77.74,76.8,75.88,74.97,74.07,73.19,72.31,71.44,70.58,69.74,68.9,68.07,67.26,66.45,65.65,64.87,64.09,63.32,62.56,61.81,61.07,60.33,59.61,58.9,58.19,57.49,56.8,56.12
41,166.7,165.41,164.1,162.75,161.37,159.97,158.54,157.08,155.6,154.1,152.57,151.03,149.46,147.89,146.29,144.69,143.07,141.44,139.81,138.17,136.53,134.9,133.28,131.68,130.1,128.54,127.0,125.48,123.97,122.49,121.02,119.57,118.13,116.72,115.32,113.93,112.57,111.22,109.88,108.56,107.26,105.98,104.71,103.45,102.21,100.98,99.77,98.57,97.39,96.22,95.07,93.93,92.8,91.69,90.59,89.5,88.43,87.37,86.32,85.29,84.26,83.25,82.25,81.27,80.29,79.33,78.38,77.44,76.51,75.59,74.68,73.79,72.9,72.03,71.16,70.31,69.47,68.63,67.81,67.0,66.19,65.4,64.61,63.84,63.07,62.32,61.57,60.83
42,179.58,178.27,176.92,175.53,174.1,172.63,171.13,169.59,168.02,166.42,164.78,163.13,161.44,159.74,158.01,156.27,154.51,152.74,150.95,149.17,147.38,145.61,143.87,142.14,140.44,138.75,137.09,135.45,133.82,132.22,130.63,129.07,127.52,125.99,124.48,122.98,121.51,120.05,118.61,117.19,115.78,114.4,113.02,111.67,110.33,109.01,107.7,106.41,105.13,103.87,102.62,101.39,100.18,98.97,97.79,96.61,95.46,94.31,93.18,92.06,90.96,89.87,88.79,87.72,86.67,85.63,84.6,83.59,82.59,81.6,80.62,79.65,78.7,77.75,76.82,75.9,74.99,74.09,73.2,72.32,71.45,70.6,69.75,68.91,68.09,67.27,66.46,65.66
43,190.71,189.32,187.87,186.39,184.86,183.28,181.67,180.01,178.32,176.6,174.84,173.05,171.24,169.4,167.54,165.66,163.77,161.86,159.95,158.03,156.14,154.27,152.42,150.59,148.78,147.0,145.24,143.5,141.77,140.07,138.39,136.74,135.1,133.48,131.87,130.29,128.73,127.19,125.66,124.15,122.67,121.19,119.74,118.3,116.89,115.48,114.1,112.73,111.38,110.04,108.72,107.42,106.13,104.86,103.6,102.36,101.13,99.92,98.72,97.53,96.36,95.21,94.07,92.94,91.82,90.72,89.63,88.56,87.5,86.45,85.41,84.39,83.37,82.37,81.39,80.41,79.44,78.49,77.55,76.62,75.7,74.79,73.9,73.01,72.13,71.27,70.41,69.57
44,203.78,202.24,200.65,199.01,197.32,195.59,193.82,192.0,190.15,188.27,186.35,184.4,182.42,180.42,178.4,176.36,174.31,172.25,170.19,168.15,166.13,164.14,162.17,160.23,158.3,156.41,154.53,152.68,150.85,149.04,147.25,145.49,143.74,142.02,140.31,138.63,136.97,135.33,133.7,132.1,130.52,128.95,127.4,125.88,124.37,122.87,121.4,119.95,118.51,117.09,115.68,114.29,112.92,111.57,110.23,108.91,107.6,106.31,105.04,103.78,102.53,101.3,100.09,98.89,97.7,96.53,95.37,94.23,93.1,91.98,90.88,89.79,88.71,87.65,86.59,85.56,84.53,83.52,82.51,81.52,80.55,79.58,78.63,77.68,76.75,75.83,74.92,74.02
45,217.33,215.63,213.88,212.08,210.22,208.32,206.38,204.4,202.37,200.32,198.23,196.1,193.96,191.78,189.59,187.39,185.17,182.96,180.76,178.6,176.46,174.34,172.25,170.18,168.14,166.13,164.14,162.17,160.22,158.3,156.4,154.53,152.67,150.84,149.04,147.25,145.48,143.74,142.01,140.31,138.63,136.97,135.32,133.7,132.1,130.51,128.95,127.4,125.87,124.36,122.87,121.4,119.94,118.5,117.08,115.68,114.29,112.92,111.57,110.23,108.91,107.6,106.31,105.03,103.77,102.53,101.3,100.09,98.88,97.7,96.53,95.37,94.23,93.1,91.98,90.88,89.79,88.71,87.64,86.59,85.55,84.53,83.51,82.51,81.52,80.54,79.58,78.62
46,230.57,228.64,226.66,224.64,222.57,220.45,218.3,216.11,213.89,211.63,209.35,207.05,204.72,202.37,200.01,197.65,195.28,192.94,190.63,188.34,186.08,183.85,181.65,179.47,177.32,175.19,173.09,171.02,168.97,166.94,164.94,162.96,161.01,159.08,157.17,155.29,153.42,151.58,149.77,147.97,146.2,144.44,142.71,141.0,139.31,137.64,135.99,134.36,132.74,131.15,129.58,128.03,126.49,124.97,123.47,121.99,120.53,119.09,117.66,116.25,114.85,113.47,112.11,110.77,109.44,108.13,106.83,105.55,104.28,103.03,101.8,100.58,99.37,98.18,97.0,95.84,94.69,93.55,92.43,91.32,90.23,89.14,88.07,87.02,85.97,84.94,83.92,82.92
47,243.74,241.53,239.29,237.01,234.69,232.34,229.96,227.55,225.11,222.65,220.18,217.68,215.17,212.66,210.14,207.62,205.14,202.68,200.25,197.85,195.47,193.13,190.81,188.53,186.27,184.03,181.83,179.65,177.49,175.37,173.26,171.19,169.13,167.1,165.1,163.12,161.17,159.23,157.32,155.44,153.57,151.73,149.91,148.11,146.34,144.58,142.85,141.14,139.44,137.77,136.12,134.49,132.87,131.28,129.71,128.15,126.61,125.1,123.6,122.11,120.65,119.2,117.77,116.36,114.96,113.59,112.22,110.88,109.55,108.23,106.94,105.65,104.39,103.13,101.9,100.67,99.47,98.27,97.1,95.93,94.78,93.64,92.52,91.41,90.31,89.23,88.16,87.1
48,256.61,254.1,251.56,248.99,246.4,243.8,241.17,238.53,235.88,233.21,230.54,227.87,225.19,222.51,219.85,217.22,214.61,212.04,209.5,206.99,204.51,202.05,199.63,197.24,194.87,192.54,190.23,187.95,185.7,183.47,181.27,179.1,176.95,174.83,172.73,170.66,168.61,166.59,164.59,162.62,160.67,158.74,156.84,154.96,153.1,151.27,149.45,147.66,145.89,144.14,142.41,140.7,139.02,137.35,135.7,134.07,132.47,130.88,129.31,127.76,126.23,124.71,123.22,121.74,120.28,118.84,117.41,116.0,114.61,113.24,111.88,110.54,109.21,107.9,106.61,105.33,104.06,102.82,101.58,100.37,99.16,97.97,96.8,95.64,94.49,93.36,92.24,91.13
49,269.43,266.58,263.73,260.87,258.0,255.13,252.27,249.4,246.53,243.67,240.82,237.97,235.14,232.32,229.54,226.79,224.07,221.38,218.73,216.11,213.52,210.96,208.43,205.93,203.46,201.02,198.61,196.23,193.88,191.55,189.26,186.99,184.75,182.53,180.34,178.18,176.04,173.93,171.85,169.79,167.75,165.74,163.75,161.79,159.85,157.93,156.04,154.17,152.32,150.49,148.69,146.91,145.14,143.4,141.68,139.98,138.31,136.65,135.01,133.39,131.79,130.21,128.65,127.1,125.58,124.07,122.59,121.12,119.66,118.23,116.81,115.41,114.03,112.66,111.31,109.97,108.65,107.35,106.06,104.79,103.53,102.29,101.06,99.85,98.65,97.47,96.3,95.15
50,282.7,279.52,276.36,273.21,270.07,266.95,263.85,260.77,257.7,254.65,251.63,248.62,245.64,242.7,239.79,236.92,234.08,231.27,228.5,225.76,223.05,220.38,217.74,215.13,212.55,210.0,207.48,205.0,202.54,200.11,197.71,195.34,193.0,190.68,188.4,186.14,183.91,181.7,179.52,177.37,175.25,173.14,171.07,169.02,166.99,164.99,163.01,161.06,159.12,157.22,155.33,153.47,151.63,149.81,148.01,146.24,144.48,142.75,141.04,139.35,137.68,136.03,134.4,132.78,131.19,129.62,128.06,126.53,125.01,123.51,122.03,120.57,119.12,117.69,116.28,114.89,113.51,112.15,110.8,109.47,108.16,106.86,105.58,104.31,103.06,101.83,100.61,99.4
51,298.39,294.88,291.4,287.96,284.55,281.17,277.83,274.52,271.24,268.0,264.79,261.62,258.48,255.38,252.32,249.3,246.31,243.36,240.44,237.56,234.71,231.9,229.12,226.37,223.66,220.98,218.33,215.71,213.13,210.57,208.05,205.55,203.09,200.65,198.25,195.87,193.52,191.2,188.91,186.65,184.41,182.2,180.01,177.85,175.72,173.62,171.53,169.48,167.44,165.44,163.45,161.49,159.56,157.64,155.75,153.89,152.04,150.22,148.42,146.64,144.88,143.14,141.42,139.73,138.05,136.4,134.76,133.14,131.55,129.97,128.41,126.87,125.35,123.85,122.36,120.89,119.44,118.01,116.6,115.2,113.82,112.45,111.1,109.77,108.45,107.15,105.87,104.6
52,312.37,308.56,304.8,301.1,297.46,293.86,290.32,286.82,283.37,279.97,276.62,273.3,270.03,266.79,263.59,260.43,257.31,254.23,251.18,248.17,245.19,242.26,239.35,236.48,233.65,230.85,228.08,225.35,222.65,219.98,217.34,214.73,212.16,209.62,207.1,204.62,202.17,199.74,197.35,194.98,192.65,190.34,188.05,185.8,183.57,181.37,179.2,177.05,174.93,172.83,170.76,168.71,166.69,164.69,162.71,160.76,158.83,156.93,155.05,153.19,151.35,149.54,147.74,145.97,144.22,142.49,140.78,139.09,137.43,135.78,134.15,132.54,130.95,129.38,127.83,126.3,124.78,123.29,121.81,120.35,118.9,117.48,116.07,114.68,113.3,111.94,110.6,109.27
53,329.21,325.12,321.1,317.15,313.27,309.46,305.7,302.02,298.38,294.81,291.27,287.78,284.33,280.93,277.56,274.23,270.95,267.7,264.49,261.32,258.19,255.1,252.04,249.02,246.03,243.08,240.17,237.29,234.45,231.64,228.86,226.12,223.41,220.73,218.08,215.47,212.89,210.33,207.81,205.32,202.86,200.43,198.02,195.65,193.3,190.99,188.7,186.44,184.2,181.99,179.81,177.65,175.52,173.42,171.34,169.29,167.26,165.25,163.27,161.31,159.38,157.47,155.58,153.71,151.87,150.05,148.25,146.47,144.71,142.98,141.26,139.57,137.9,136.24,134.61,132.99,131.4,129.82,128.27,126.73,125.21,123.71,122.22,120.76,119.31,117.88,116.47,115.07
54,349.09,344.72,340.43,336.23,332.1,328.06,324.09,320.19,316.35,312.56,308.81,305.11,301.45,297.84,294.27,290.75,287.26,283.82,280.42,277.06,273.74,270.46,267.22,264.01,260.85,257.72,254.64,251.58,248.57,245.59,242.65,239.74,236.86,234.02,231.22,228.45,225.71,223.0,220.33,217.69,215.08,212.5,209.95,207.44,204.95,202.49,200.07,197.67,195.3,192.96,190.64,188.36,186.1,183.87,181.66,179.49,177.33,175.21,173.11,171.03,168.98,166.95,164.95,162.97,161.02,159.09,157.18,155.3,153.43,151.59,149.78,147.98,146.21,144.45,142.72,141.01,139.32,137.65,136.0,134.37,132.75,131.16,129.59,128.04,126.5,124.98,123.48,122.0
55,376.39,371.7,367.11,362.6,358.18,353.84,349.58,345.39,341.25,337.16,333.13,329.13,325.19,321.29,317.44,313.64,309.88,306.17,302.5,298.88,295.3,291.76,288.26,284.81,281.39,278.02,274.69,271.4,268.14,264.93,261.76,258.62,255.52,252.46,249.43,246.44,243.49,240.57,237.69,234.84,232.02,229.24,226.49,223.78,221.1,218.45,215.83,213.24,210.68,208.16,205.66,203.2,200.76,198.35,195.98,193.63,191.31,189.01,186.75,184.51,182.29,180.11,177.95,175.82,173.71,171.62,169.57,167.53,165.53,163.54,161.58,159.64,157.73,155.84,153.97,152.12,150.3,148.5,146.71,144.96,143.22,141.5,139.8,138.13,136.47,134.83,133.22,131.62
56,409.72,404.67,399.71,394.85,390.07,385.38,380.76,376.2,371.69,367.24,362.84,358.49,354.2,349.95,345.76,341.62,337.53,333.48,329.49,325.54,321.64,317.79,313.98,310.22,306.5,302.83,299.2,295.61,292.07,288.57,285.11,281.7,278.32,274.99,271.69,268.43,265.22,262.04,258.9,255.79,252.73,249.7,246.71,243.75,240.83,237.94,235.09,232.27,229.49,226.74,224.02,221.33,218.68,216.06,213.47,210.91,208.38,205.88,203.42,200.98,198.57,196.19,193.83,191.51,189.21,186.95,184.71,182.49,180.3,178.14,176.01,173.89,171.81,169.75,167.71,165.7,163.72,161.75,159.81,157.9,156.0,154.13,152.29,150.46,148.66,146.87,145.11,143.37
57,447.9,442.44,437.07,431.79,426.6,421.49,416.44,411.46,406.53,401.66,396.85,392.1,387.4,382.76,378.17,373.64,369.17,364.75,360.38,356.06,351.79,347.58,343.42,339.3,335.24,331.22,327.25,323.33,319.46,315.63,311.85,308.11,304.42,300.77,297.17,293.61,290.09,286.61,283.18,279.78,276.43,273.12,269.85,266.61,263.42,260.26,257.14,254.06,251.01,248.0,245.03,242.1,239.19,236.33,233.49,230.69,227.93,225.2,222.5,219.83,217.2,214.59,212.02,209.48,206.97,204.49,202.03,199.61,197.22,194.85,192.52,190.21,187.93,185.68,183.45,181.25,179.08,176.93,174.81,172.71,170.64,168.6,166.58,164.58,162.61,160.66,158.73,156.83
58,490.5,484.57,478.73,472.98,467.31,461.72,456.19,450.73,445.33,440.0,434.73,429.52,424.38,419.3,414.28,409.31,404.41,399.57,394.78,390.05,385.38,380.77,376.21,371.7,367.25,362.85,358.5,354.21,349.96,345.77,341.63,337.54,333.49,329.5,325.55,321.65,317.79,313.99,310.22,306.51,302.83,299.21,295.62,292.08,288.58,285.12,281.7,278.33,274.99,271.7,268.44,265.22,262.04,258.9,255.8,252.74,249.71,246.71,243.76,240.83,237.95,235.1,232.28,229.49,226.74,224.02,221.34,218.69,216.06,213.47,210.92,208.39,205.89,203.42,200.98,198.57,196.19,193.84,191.52,189.22,186.95,184.71,182.5,180.31,178.15,176.01,173.9,171.82
59,537.28,530.82,524.45,518.17,511.97,505.84,499.78,493.8,487.89,482.05,476.28,470.57,464.94,459.37,453.87,448.44,443.07,437.76,432.52,427.34,422.22,417.17,412.17,407.24,402.36,397.54,392.78,388.07,383.43,378.83,374.3,369.81,365.38,361.01,356.68,352.41,348.19,344.01,339.89,335.82,331.8,327.82,323.9,320.01,316.18,312.39,308.65,304.95,301.3,297.69,294.12,290.59,287.11,283.67,280.27,276.91,273.59,270.32,267.08,263.88,260.71,257.59,254.5,251.45,248.44,245.46,242.52,239.61,236.74,233.9,231.1,228.33,225.59,222.89,220.21,217.57,214.97,212.39,209.84,207.33,204.84,202.39,199.96,197.56,195.2,192.86,190.54,188.26
60,584.81,577.79,570.87,564.04,557.29,550.62,544.03,537.52,531.09,524.73,518.45,512.24,506.11,500.05,494.07,488.15,482.31,476.53,470.83,465.19,459.62,454.12,448.68,443.31,438.0,432.76,427.57,422.45,417.39,412.39,407.46,402.58,397.75,392.99,388.28,383.63,379.04,374.5,370.01,365.58,361.2,356.87,352.6,348.37,344.2,340.08,336.0,331.98,328.0,324.07,320.19,316.35,312.56,308.82,305.11,301.46,297.85,294.28,290.75,287.27,283.82,280.42,277.06,273.74,270.46,267.22,264.02,260.85,257.73,254.64,251.59,248.57,245.59,242.65,239.74,236.87,234.03,231.22,228.45,225.71,223.01,220.33,217.69,215.08,212.51,209.96,207.44,204.96
61,631.59,624.03,616.57,609.19,601.9,594.7,587.58,580.55,573.6,566.74,559.96,553.26,546.64,540.09,533.63,527.24,520.93,514.7,508.53,502.45,496.43,490.49,484.62,478.82,473.08,467.42,461.82,456.29,450.83,445.43,440.1,434.83,429.62,424.48,419.39,414.37,409.41,404.5,399.66,394.87,390.14,385.47,380.85,376.29,371.78,367.33,362.93,358.58,354.29,350.04,345.85,341.71,337.61,333.57,329.57,325.62,321.72,317.87,314.06,310.3,306.58,302.9,299.28,295.69,292.15,288.65,285.19,281.77,278.39,275.06,271.76,268.5,265.28,262.11,258.96,255.86,252.79,249.76,246.77,243.81,240.89,238.0,235.15,232.33,229.55,226.8,224.08,221.39
62,680.05,671.92,663.88,655.94,648.1,640.34,632.68,625.12,617.64,610.25,602.95,595.73,588.6,581.56,574.6,567.73,560.93,554.22,547.59,541.03,534.56,528.16,521.84,515.59,509.42,503.32,497.3,491.34,485.46,479.65,473.91,468.23,462.63,457.09,451.62,446.21,440.86,435.59,430.37,425.22,420.12,415.09,410.12,405.21,400.36,395.56,390.82,386.14,381.52,376.95,372.43,367.97,363.56,359.21,354.91,350.66,346.45,342.3,338.2,334.15,330.15,326.19,322.28,318.42,314.61,310.84,307.11,303.43,299.8,296.21,292.66,289.15,285.68,282.26,278.88,275.54,272.23,268.97,265.75,262.56,259.42,256.31,253.24,250.2,247.2,244.24,241.32,238.42
63,730.64,721.9,713.27,704.74,696.31,687.99,679.76,671.63,663.59,655.66,647.81,640.06,632.41,624.84,617.37,609.98,602.68,595.47,588.35,581.31,574.35,567.48,560.69,553.98,547.35,540.8,534.32,527.93,521.61,515.37,509.2,503.1,497.08,491.13,485.25,479.44,473.7,468.03,462.43,456.89,451.42,446.01,440.67,435.4,430.18,425.03,419.94,414.91,409.94,405.04,400.18,395.39,390.66,385.98,381.35,376.79,372.27,367.81,363.41,359.05,354.75,350.5,346.31,342.16,338.06,334.01,330.01,326.05,322.15,318.29,314.47,310.7,306.98,303.3,299.67,296.08,292.53,289.03,285.56,282.14,278.76,275.42,272.12,268.86,265.64,262.46,259.31,256.2
64,788.01,778.59,769.29,760.09,751.0,742.02,733.15,724.38,715.72,707.16,698.71,690.35,682.09,673.94,665.88,657.91,650.04,642.27,634.58,626.99,619.49,612.08,604.76,597.52,590.37,583.31,576.33,569.43,562.62,555.88,549.23,542.66,536.16,529.75,523.41,517.14,510.95,504.83,498.79,492.82,486.92,481.09,475.33,469.64,464.02,458.46,452.97,447.55,442.19,436.9,431.66,426.5,421.39,416.34,411.36,406.43,401.56,396.75,392.0,387.31,382.67,378.08,373.56,369.08,364.66,360.29,355.98,351.71,347.5,343.34,339.22,335.16,331.14,327.18,323.26,319.38,315.56,311.78,308.04,304.35,300.7,297.1,293.54,290.03,286.55,283.12,279.73,276.37
65,853.98,843.78,833.69,823.73,813.88,804.16,794.54,785.05,775.66,766.39,757.23,748.17,739.23,730.39,721.65,713.03,704.5,696.07,687.75,679.52,671.4,663.37,655.43,647.59,639.84,632.19,624.63,617.15,609.77,602.47,595.27,588.14,581.11,574.15,567.28,560.49,553.79,547.16,540.61,534.14,527.75,521.43,515.19,509.02,502.93,496.91,490.96,485.08,479.27,473.54,467.87,462.27,456.73,451.26,445.86,440.52,435.24,430.03,424.88,419.8,414.77,409.8,404.89,400.04,395.25,390.52,385.84,381.22,376.65,372.14,367.68,363.28,358.93,354.63,350.38,346.18,342.04,337.94,333.89,329.89,325.94,322.04,318.18,314.37,310.6,306.88,303.21,299.57
66,940.04,928.81,917.71,906.75,895.91,885.21,874.63,864.18,853.85,843.65,833.56,823.6,813.76,804.03,794.42,784.92,775.54,766.27,757.1,748.05,739.11,730.27,721.54,712.91,704.38,695.96,687.63,679.41,671.28,663.25,655.32,647.48,639.73,632.08,624.52,617.05,609.66,602.37,595.16,588.04,581.0,574.05,567.18,560.39,553.69,547.06,540.51,534.04,527.65,521.33,515.09,508.93,502.83,496.82,490.87,484.99,479.18,473.45,467.78,462.18,456.64,451.18,445.77,440.44,435.16,429.95,424.8,419.71,414.69,409.72,404.81,399.97,395.18,390.44,385.77,381.15,376.58,372.07,367.62,363.21,358.86,354.56,350.32,346.12,341.98,337.88,333.83,329.84
67,1036.06,1023.69,1011.47,999.39,987.45,975.65,964.0,952.48,941.11,929.86,918.75,907.77,896.93,886.21,875.62,865.15,854.81,844.6,834.5,824.53,814.67,804.93,795.31,785.8,776.41,767.12,757.95,748.89,739.93,731.08,722.34,713.7,705.17,696.73,688.4,680.16,672.03,663.99,656.05,648.2,640.44,632.78,625.21,617.73,610.34,603.03,595.82,588.69,581.64,574.68,567.8,561.01,554.29,547.66,541.11,534.63,528.23,521.91,515.66,509.49,503.39,497.36,491.41,485.52,479.71,473.97,468.29,462.68,457.14,451.67,446.26,440.92,435.64,430.42,425.27,420.17,415.14,410.17,405.26,400.41,395.61,390.88,386.19,381.57,377.0,372.49,368.03,363.62
68,1127.49,1114.03,1100.73,1087.59,1074.6,1061.77,1049.09,1036.57,1024.19,1011.96,999.87,987.93,976.13,964.47,952.94,941.56,930.31,919.2,908.21,897.36,886.64,876.04,865.57,855.23,845.0,834.9,824.92,815.06,805.32,795.69,786.18,776.78,767.49,758.31,749.25,740.29,731.43,722.69,714.04,705.5,697.07,688.73,680.49,672.35,664.31,656.36,648.51,640.75,633.08,625.51,618.02,610.63,603.32,596.1,588.97,581.92,574.96,568.08,561.28,554.56,547.92,541.36,534.88,528.48,522.15,515.9,509.73,503.62,497.6,491.64,485.75,479.94,474.19,468.51,462.91,457.36,451.89,446.48,441.13,435.85,430.63,425.48,420.38,415.35,410.38,405.47,400.61,395.82
69,1223.33,1208.74,1194.31,1180.06,1165.98,1152.06,1138.31,1124.72,1111.3,1098.03,1084.92,1071.97,1059.17,1046.52,1034.03,1021.68,1009.47,997.42,985.5,973.73,962.1,950.61,939.25,928.03,916.94,905.98,895.16,884.46,873.89,863.45,853.13,842.93,832.85,822.9,813.06,803.34,793.74,784.25,774.87,765.61,756.45,747.41,738.47,729.64,720.91,712.29,703.77,695.35,687.04,678.82,670.7,662.67,654.75,646.91,639.17,631.53,623.97,616.5,609.13,601.84,594.64,587.52,580.49,573.54,566.68,559.9,553.2,546.57,540.03,533.57,527.18,520.87,514.64,508.48,502.39,496.38,490.44,484.57,478.77,473.04,467.38,461.78,456.25,450.79,445.4,440.07,434.8,429.6
70,1330.23,1314.36,1298.69,1283.2,1267.89,1252.77,1237.82,1223.05,1208.46,1194.04,1179.79,1165.71,1151.8,1138.05,1124.47,1111.04,1097.78,1084.67,1071.72,1058.93,1046.28,1033.79,1021.44,1009.24,997.19,985.28,973.51,961.88,950.39,939.04,927.82,916.73,905.78,894.95,884.26,873.69,863.25,852.93,842.74,832.66,822.71,812.88,803.16,793.56,784.07,774.69,765.43,756.28,747.24,738.3,729.47,720.75,712.13,703.61,695.19,686.88,678.66,670.54,662.52,654.6,646.77,639.03,631.38,623.83,616.36,608.99,601.7,594.5,587.39,580.36,573.41,566.55,559.77,553.08,546.46,539.92,533.46,527.07,520.77,514.54,508.38,502.3,496.28,490.35,484.48,478.68,472.95,467.29
